﻿Name,Frequency,CountryCode
MEHMET,798162,TR
MUSTAFA,540661,TR
AHMET,467473,TR
ALİ,461266,TR
HASAN,361397,TR
HÜSEYİN,361156,TR
İBRAHİM,254168,TR
İSMAİL,236655,TR
OSMAN,205263,TR
HALİL,150511,TR
YUSUF,147493,TR
ÖMER,145539,TR
SÜLEYMAN,141271,TR
ABDULLAH,132578,TR
RAMAZAN,132194,TR
MURAT,112011,TR
MAHMUT,105903,TR
SALİH,87724,TR
KEMAL,77704,TR
RECEP,76044,TR
YAŞAR,69655,TR
MEHMET ALİ,66339,TR
BEKİR,65533,TR
KADİR,60905,TR
MUSA,58248,TR
ŞÜKRÜ,56333,TR
BAYRAM,55656,TR
CEMAL,54535,TR
ADEM,51565,TR
MEMET,46895,TR
ABDURRAHMAN,46595,TR
DURSUN,45505,TR
METİN,45177,TR
ORHAN,44652,TR
ŞABAN,44004,TR
İSMET,43375,TR
ARİF,43191,TR
EMİN,41404,TR
KAMİL,40000,TR
CELAL,39653,TR
VELİ,39335,TR
MEVLÜT,38590,TR
SELAHATTİN,38190,TR
NURİ,37918,TR
SABRİ,37350,TR
YAKUP,36505,TR
MUHAMMED,35910,SY
HALİT,35555,TR
MUZAFFER,35004,TR
ZEKİ,34427,TR
NURETTİN,34154,TR
İSA,33271,TR
CEMİL,32403,TR
MUHARREM,32209,TR
FATİH,32036,TR
İHSAN,31554,TR
HAKAN,31127,TR
EROL,31063,TR
AZİZ,30978,TR
EKREM,30810,TR
NECATİ,29875,TR
AYHAN,29607,TR
DURMUŞ,29062,TR
HAYDAR,28799,TR
MEHMET EMİN,28788,TR
HALİL İBRAHİM,28025,TR
BİLAL,27516,TR
HAMİT,27407,TR
İLYAS,26955,TR
KENAN,26797,TR
NİHAT,26013,TR
CENGİZ,25988,TR
ABDULKADİR,25631,TR
ŞEVKET,25376,TR
NİYAZİ,25330,TR
TAHİR,25302,TR
SAİT,25232,TR
YUNUS,24560,TR
HAMZA,24243,TR
HİKMET,24192,TR
REMZİ,24180,TR
CUMA,24096,TR
HASAN HÜSEYİN,23963,TR
HAMDİ,23655,TR
ERDAL,23375,TR
İZZET,23147,TR
ERCAN,22671,TR
CAFER,22648,TR
SELİM,21918,TR
İRFAN,21837,TR
MESUT,21805,TR
ŞAKİR,21804,TR
FEVZİ,21801,TR
TAHSİN,21496,TR
ERKAN,21385,TR
ADNAN,21299,TR
ENVER,21283,TR
VEYSEL,21216,TR
GÖKHAN,20778,TR
İDRİS,20607,TR
