Surname,Frequency
KAYA,128706
DEMİR,122305
ÇELİK,103185
ŞAHİN,100797
ÖZTÜRK,85151
ÖZDEMİR,81572
ARSLAN,75321
DOĞAN,69664
ASLAN,55614
ÇETİN,48984
KARA,42285
KOÇ,41672
KURT,40435
POLAT,38679
ERDOĞAN,37772
ŞİMŞEK,36540
ÖZKAN,36064
KORKMAZ,35399
ÖZCAN,34689
GÜLER,34401
YAVUZ,34249
GÜL,32868
AKTAŞ,32768
ACAR,32675
CAN,32186
GÜNEŞ,31829
BULUT,30472
ŞEN,30435
BOZKURT,30085
TURAN,29667
KESKİN,29608
ÖZER,27579
KAPLAN,27142
ÜNAL,27120
TAŞ,26680
TEKİN,25613
KARATAŞ,24739
KÖSE,24674
YÜKSEL,24315
ATEŞ,23914
COŞKUN,23751
AKSOY,23547
UZUN,22806
CEYLAN,22697
YİĞİT,22617
ÇİÇEK,22544
KARACA,22464
ÇOBAN,22022
BAYRAM,21933
YAŞAR,21817
DEMİRCİ,21769
ERDEM,21513
DENİZ,21215
ÇAKMAK,20961
GÜNGÖR,20597
DUMAN,19876
GENÇ,19665
UÇAR,19585
KOÇAK,19082
ÇİFTÇİ,18761
SÖNMEZ,18686
KAHRAMAN,18685
DEMİREL,18559
UYSAL,18295
AY,18197
ALTUN,18170
YAMAN,18013
GÜMÜŞ,17946
GÜNDÜZ,17943
ÇETİNKAYA,17880
EREN,17675
KÜÇÜK,17559
AYDEMİR,16901
KARAKAYA,16825
EROL,16596
KARTAL,16570
GÖK,16437
TUNÇ,16364
ÇOLAK,15952
GÜVEN,15934
AKSU,15803
ÖZ,15795
KARAMAN,15670
ALKAN,15479
TOSUN,15146
SAĞLAM,15034
KELEŞ,14995
EROĞLU,14991
GÜZEL,14911
KARAKUŞ,14808
MUTLU,14715
DÖNMEZ,14633
TÜRK,14528
ÖZEN,14464
AKBAŞ,14436
BAŞ,14361
CENGİZ,14293
ÇEVİK,14280
KARABULUT,14269
GÜLTEKİN,14166
ER,14107
DURMUŞ,14099
DURAN,14075
EKİNCİ,13904
DURSUN,13657
AKBULUT,13606
İNCE,13571
AKKAYA,13547
AKGÜN,13370
DEMİRTAŞ,13320
TOPRAK,12989
AYDOĞAN,12983
USLU,12890
ÇELEBİ,12878
ÖZÇELİK,12831
DURMAZ,12757
YÜCEL,12718
KOCA,12562
GÜRBÜZ,12520
DAĞ,12450
KARAGÖZ,12387
AKGÜL,12336
TOPAL,12292
ÜNLÜ,12207
KARAKAŞ,12140
DİNÇ,12122
TÜRKMEN,12048
VURAL,11875
ZENGİN,11869
FİDAN,11551
ÖZMEN,11523
GÜNEY,11495
GÜNDOĞDU,11461
BAL,11430
İLHAN,11428
ŞEKER,11358
BEKTAŞ,11339
ERGÜN,11253
GÜNER,11142
ALBAYRAK,11095
KALKAN,11020
AKYOL,10967
KARADAĞ,10965
İNAN,10945
OĞUZ,10753
ERCAN,10688
BİLGİN,10677
AKYÜZ,10570
TAŞDEMİR,10541
ESEN,10531
ORHAN,10481
BAYRAK,10468
AKAR,10393
ŞENTÜRK,10351
AYDOĞDU,10336
SEZER,10325
ÖZEL,10292
AK,10218
AKKUŞ,10088
İPEK,9864
GÖKÇE,9765
EFE,9618
AYGÜN,9614
ERGİN,9568
TEMEL,9563
GÜNAY,9554
UĞUR,9513
BAYRAKTAR,9485
BUDAK,9457
ERSOY,9444
ÖZBEK,9283
ARAS,9253
AYHAN,9222
BARAN,9133
ÖNER,9132
SEVİNÇ,8851
ÇAĞLAR,8847
TURGUT,8822
ERTÜRK,8808
AKDEMİR,8736
KARAKOÇ,8693
GEZER,8680
TAN,8589
KARADENİZ,8573
AKÇAY,8568
AYAZ,8521
ÇAM,8504
AKDAĞ,8365
ŞENER,8338
GÜR,8294
KOYUNCU,8266
ÇİMEN,8250
BİNGÖL,8147
ŞENGÜL,8098
KANDEMİR,8091
KARAHAN,8033
ATALAY,8010
GÜN,8001
AKMAN,7927
BİÇER,7906
SERT,7903
AKDENİZ,7847
EKİCİ,7804
ERKAN,7797
ORUÇ,7769
BOLAT,7748
BAŞARAN,7740
USTA,7671
TURHAN,7630
ÇAKAR,7623
ATMACA,7621
KUŞ,7595
AKDOĞAN,7576
SEZGİN,7526
BÜLBÜL,7507
ALTUNTAŞ,7491
DÜNDAR,7489
MERT,7436
YÜCE,7409
YEŞİL,7320
KAÇAR,7309
ALTAY,7279
ESER,7248
GÜLEÇ,7173
EKER,7171
SEVİM,7139
TUNA,7099
ERTAŞ,7058
PEHLİVAN,7025
SAVAŞ,7022
DOĞRU,7012
KUTLU,6994
ÖKSÜZ,6993
ATAŞ,6990
METİN,6982
UYAR,6973
GÖKTAŞ,6920
ÖLMEZ,6911
ORAL,6873
DEMİRBAŞ,6862
ÖNAL,6832
DURAK,6804
KURU,6792
BOZ,6770
ÖNDER,6753
ÖZKAYA,6740
PARLAK,6562
DEMİRCAN,6479
AKAY,6459
GEDİK,6454
GÜÇLÜ,6448
TÜRKOĞLU,6447
VAROL,6421
GÜLMEZ,6400
SOYLU,6400
TOPÇU,6361
KÖKSAL,6346
ÖZDEN,6289
ELMAS,6275
ŞAHAN,6218
ALP,6208
ENGİN,6082
GÜRSOY,6043
MEMİŞ,6018
KÖROĞLU,5999
TORUN,5938
MERCAN,5908
ŞENOL,5901
UĞURLU,5891
AKÇA,5887
ERGÜL,5866
ERDEN,5827
SOLMAZ,5819
ÜNSAL,5819
ALAN,5780
DİNÇER,5758
TUNCER,5740
DAL,5717
KESER,5700
TÜRKER,5632
OCAK,5630
SARAÇ,5606
BİLGİÇ,5569
DEĞİRMENCİ,5569
AYTEKİN,5542
ÜSTÜN,5494
AKTÜRK,5448
KAVAK,5442
GÖKMEN,5441
TOPCU,5354
KARADUMAN,5353
ÖZBAY,5321
SOLAK,5302
PALA,5300
BAYAR,5295
KARAASLAN,5290
BAYSAL,5285
TEMİZ,5249
ÖZSOY,5238
AVŞAR,5233
YEŞİLYURT,5179
KOCAMAN,5171
DEVECİ,5094
ATAY,5060
İNCİ,5055
PEKER,5046
YAVAŞ,5042
CEYHAN,5031
KAÇMAZ,4992
TETİK,4990
GÜREL,4988
ULUSOY,4948
SELÇUK,4938
ÇAĞLAYAN,4931
